Title,Professor,Weekly Hours,main_description
Supporting Bay Area Immigrant Families through Community-Engaged Research and Practice,"Stephanie Canizales - Professor, Sociology",3-5,"Students applying would ideally already be familiar with folklore genres (e.g. by having taken Anthropology 160, The Forms of Folklore, or an equivalent course) but we are also excited to welcome new students who are interested in learning more about the field. The basic work will entail filing, cataloging and..."
Molecular and Cellular Mechanisms of Blood and Lymphatic Vessel Formation ,"Lu Chen - Professor, Optometry",12 or more hours     Location: On Campus ,"Our research focuses on mechanisms and regulation of lymphatic and blood vessel formation and implications in eye diseases, such as glaucoma, inflammation, and transplant rejection. Lymphatic research represents of field of new discovery in recent years. A wide spectrum of in vitro and in vivo techniques are used in our..."
Mechanism underlying visual processing in people with visual impairment,"Susana Chung - Professor, Optometry",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
Plasticity of the visual system following vision loss,"Susana Chung - Professor, Optometry",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
Feature detection and enhancement in peripheral vision,"Susana Chung - Professor, Optometry",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
"Biometric governance and surveillance capitalism in India: the Aadhaar program, health care, money, and emergent politics","Lawrence Cohen - Professor, Anthropology",to be negotiated     Location: On Campus ,"Rapid Reviews\Infectious Diseases (RR\ID) [rrid.mitpress.mit.edu], is an initiative of the MIT Press and the University of California, Berkeley. It is an open access, rapid-review overlay journal for the accelerated curation and peer review of COVID-19 and emerging infections disease-related research. RR\ID takes a transdisciplinary..."
Translating the queer Marathi public sphere,"Lawrence Cohen - Professor, Anthropology",to be negotiated     ,The core of this research involves translating from the Marathi language a series of essays by the Mumbai-based gay activist and journalist Ashok Row Kavi.  These essays appeared in a prominent Marathi-language newspaper and have recently been published.  I work with Mr. Row Kavi and have written about...
"The Psychology of Forecasting, Politics, Consumer Behavior, and Morality","Clayton Critcher - Professor, Business, Haas School",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
Machine Learning Research Assistant for Behavioral Science and Finance Studies,"Diag Davenport - Professor, Information, School of",12 or more hours     Location: On Campus ,"Our research focuses on mechanisms and regulation of lymphatic and blood vessel formation and implications in eye diseases, such as glaucoma, inflammation, and transplant rejection. Lymphatic research represents of field of new discovery in recent years. A wide spectrum of in vitro and in vivo techniques are used in our..."
Field and Lab Experiment Research Assistant in Behavioral Science,"Diag Davenport - Professor, Information, School of",12 or more hours     Location: On Campus ,"Our research focuses on mechanisms and regulation of lymphatic and blood vessel formation and implications in eye diseases, such as glaucoma, inflammation, and transplant rejection. Lymphatic research represents of field of new discovery in recent years. A wide spectrum of in vitro and in vivo techniques are used in our..."
"Undergraduate Research Assistant in Behavioral Economics and Cultural Psychology
","Diag Davenport - Professor, Information, School of",12 or more hours     Location: On Campus ,"Our research focuses on mechanisms and regulation of lymphatic and blood vessel formation and implications in eye diseases, such as glaucoma, inflammation, and transplant rejection. Lymphatic research represents of field of new discovery in recent years. A wide spectrum of in vitro and in vivo techniques are used in our..."
Early-Stage Research in Behavioral Economics and Applied Micro,"Stefano DellaVigna - Professor, Economics",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
Developmental Psychology Research Assistant in the UC DREAMS (Understanding Culture and Development to Re-Imagine an Equitable And More just Society)Lab,"Arianne Eason - Professor, Psychology",9-11,"In a world of rising inequality and globalization, international coordination on tax policy has increased in importance. In this project, I investigate how international tax coordination was formed between states and how changes to the global tax rules affect the international investment environment.  I argue that the global minimum tax..."
Cooperation and Social Reasoning in Children,"Jan Engelmann - Professor, Psychology",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
"Judgment and Decision Making
","Ellen Evers - Professor, Marketing",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
PhiloBiblon: From siloed databases to linked open data via Wikibase.,"Charles B. Faulhaber - Professor, Spanish and Portuguese",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
Soft Pouch Robots for Minimally Invasive Surgeries and Beyond,"Ronald Fearing - Professor, Electrical Engineering and Computer Science",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
"Nutrient acquisition strategies of 5 epiphytic plant lineages across forest types in the Allpahuayo-Mishana National Reserve in Peru
","Paul Fine - Professor, Integrative Biology",3-5,"Students applying would ideally already be familiar with folklore genres (e.g. by having taken Anthropology 160, The Forms of Folklore, or an equivalent course) but we are also excited to welcome new students who are interested in learning more about the field. The basic work will entail filing, cataloging and..."
Near-Infrared Spectrometry as an aid to Plant Taxonomy,"Paul Fine - Professor, Integrative Biology",3-5,"Students applying would ideally already be familiar with folklore genres (e.g. by having taken Anthropology 160, The Forms of Folklore, or an equivalent course) but we are also excited to welcome new students who are interested in learning more about the field. The basic work will entail filing, cataloging and..."
Molecular phylogenetics of Burseraceae,"Paul Fine - Professor, Integrative Biology",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
Estimating the Impacts of Healthcare Mergers and Acquisitions,"Brent Fulton - Associate Director, Public Health",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
"Improving Equity Using Private Investments
","Brent Fulton - Associate Director, Public Health",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
Collective Comfort,"Liz Galvez - Professor, Architecture",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
Heterogeneous Interior ,"Liz Galvez - Professor, Architecture",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
Forest Pavilion / From Wood to Tree II,"Liz Galvez - Professor, Architecture",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
"Website integration of DNA Sequencing Facility sample submission, data handling, and pipeline development / optimization. ","Scott Geller - Research Scientist, Molecular and Cell Biology",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
Understanding trends in fog occurrence globally,"Cynthia Gerlein-Safdi - Professor, Civil and Environmental Engineering",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
"Project 1: Advanced Research Support for
Hard and Soft Skills for Youth Entrepreneurship in Uganda, Two RCTs.  


","Paul Gertler - Professor, Business, Haas School",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
Examining the Economic and Health Impacts of Drug Cartel Violence in Mexico,"Paul Gertler - Professor, Business, Haas School",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
"Hmong diasporas, farming, and medicinal plants","Christy Getz - Cooperative Extension Specialist, Environmental Science, Policy and Management",3-5,"Hmong farmers have become central in debates about cannabis cultivation and medical cannabis access in California. This community engaged research builds on 6+ years of relationship and trust building with Hmong farmers who grow crops that include cannabis. The research will explore four themes: 1) Hmong medicinal cannabis uses, cultivation..."
Molecular genetics and cellular biology of eye development and disease,"Xiaohua Gong - Professor, Optometry",to be negotiated     Location: On Campus ,"Rapid Reviews\Infectious Diseases (RR\ID) [rrid.mitpress.mit.edu], is an initiative of the MIT Press and the University of California, Berkeley. It is an open access, rapid-review overlay journal for the accelerated curation and peer review of COVID-19 and emerging infections disease-related research. RR\ID takes a transdisciplinary..."
Single cell RNA sequencing and bulk RNA sequencing analysis for eye mutant mouse models,"Xiaohua Gong - Professor, Optometry",to be negotiated     Location: On Campus ,"Rapid Reviews\Infectious Diseases (RR\ID) [rrid.mitpress.mit.edu], is an initiative of the MIT Press and the University of California, Berkeley. It is an open access, rapid-review overlay journal for the accelerated curation and peer review of COVID-19 and emerging infections disease-related research. RR\ID takes a transdisciplinary..."
Tadpole from head to tail: Establishment of the AP axis in Xenopus,"Richard Harland - Professor, Molecular and Cell Biology",12 or more hours     Location: On Campus ,"Our research focuses on mechanisms and regulation of lymphatic and blood vessel formation and implications in eye diseases, such as glaucoma, inflammation, and transplant rejection. Lymphatic research represents of field of new discovery in recent years. A wide spectrum of in vitro and in vivo techniques are used in our..."
Sleep function during brain development ,"Richard Harland - Professor, Molecular and Cell Biology",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
A screen for genes that control shape change in the embryo,"Richard Harland - Professor, Molecular and Cell Biology",12 or more hours     Location: On Campus ,"We will isolate DNAs encoding cytoskeletal regulators, describe their expression, and knock-out or add back functions to determine whether they are active in controlling cell behaviors.
Background. 
Amphibian embryos have been valuable models to examine the behaviors of cells that contribute to the shape changes of the embryo.  The..."
Determining the possible functions of sleep in the jellyfish Cassiopea,"Richard Harland - Professor, Molecular and Cell Biology",to be negotiated     Location: On Campus ,"Though sleep is pervasive across animals, the core function of this deeply conserved behavior remains unknown.  Sleep has been hypothesized to serve many roles, from the replenishing of molecules consumed during periods of activity, to the facilitation of learning and the formation of long term memories.  Recently, colleagues and I..."
Ancient Maya Plant Use at Altar de Sacrificios,"Christine Hastorf - Professor, Anthropology",3-5,"This project will involve laboratory analysis of preserved plant remains collected from household contexts at a Maya archaeological site called Altar de Sacrificios, which is located on the border of Guatemala and Mexico. The samples were collected from a range of time periods, ranging from the Preclassic to the Postclassic..."
Private financing of improved forest management in the United States: carbon offsetting versus a contributions model,"Barbara Haya - Research Fellow, Public Policy",to be negotiated     Location: Off Campus ,Carbon offsets are being widely used to meet carbon neutrality goals. Improved forest management offset projects have generated around 45% of credits from projects based in the United States but research has shown that programs are grossly over-estimating project benefits. We are working with an interdisciplinary team of researchers...
Quality analysis of carbon offset programs - landfill gas capture and refrigerant destruction,"Barbara Haya - Research Fellow, Public Policy",to be negotiated     Location: Off Campus ,Carbon offsets are being widely used to meet carbon neutrality goals. Improved forest management offset projects have generated around 45% of credits from projects based in the United States but research has shown that programs are grossly over-estimating project benefits. We are working with an interdisciplinary team of researchers...
Automation and data visualization development for the Voluntary Registry Offsets Database ,"Barbara Haya - Research Fellow, Public Policy",to be negotiated     Location: Off Campus ,Carbon offsets are being widely used to meet carbon neutrality goals. Improved forest management offset projects have generated around 45% of credits from projects based in the United States but research has shown that programs are grossly over-estimating project benefits. We are working with an interdisciplinary team of researchers...
Numerical modeling of pressure-driven flow in a complex microfluidic-actuation network | Great project for a Design Portfolio!,"Amy Herr - Professor, Bioengineering",9-11,"We are addressing a major blocker in microfluidic design: the macro-to-micro interface. Here, we consider how to precisely move and situation an array of single nuclei (from single mammalian cells). We have a vacuum-driven manifold that does the job, but we need to understand best operating parameters..."
"Informatics for personalized cancer therapy (data science, machine learning, natural language processing, imaging analytics)","Julian Hong - Professor, UC San Francisco",to be negotiated     Location: Off Campus ,Carbon offsets are being widely used to meet carbon neutrality goals. Improved forest management offset projects have generated around 45% of credits from projects based in the United States but research has shown that programs are grossly over-estimating project benefits. We are working with an interdisciplinary team of researchers...
Project 1: Molecular control of organ regeneration in development and evolution ,"Guo Huang - Professor, UC San Francisco",12 or more hours     Location: On Campus ,"We will isolate DNAs encoding cytoskeletal regulators, describe their expression, and knock-out or add back functions to determine whether they are active in controlling cell behaviors.
Background. 
Amphibian embryos have been valuable models to examine the behaviors of cells that contribute to the shape changes of the embryo.  The..."
Project 2: Extreme physiology (a) with low heart rates or (b) between identical twins (students with healthy low heart rates or identical twin siblings are especially encouraged to apply),"Guo Huang - Professor, UC San Francisco",12 or more hours     Location: On Campus ,"We will isolate DNAs encoding cytoskeletal regulators, describe their expression, and knock-out or add back functions to determine whether they are active in controlling cell behaviors.
Background. 
Amphibian embryos have been valuable models to examine the behaviors of cells that contribute to the shape changes of the embryo.  The..."
Project 3: Single-cell live imaging cell division and dynamics during organ regeneration in vivo and in culture in vitro (students who are passionate about photography are encouraged to apply. Experiences with photography and imaging processing are a plus but not required),"Guo Huang - Professor, UC San Francisco",12 or more hours     Location: On Campus ,"We will isolate DNAs encoding cytoskeletal regulators, describe their expression, and knock-out or add back functions to determine whether they are active in controlling cell behaviors.
Background. 
Amphibian embryos have been valuable models to examine the behaviors of cells that contribute to the shape changes of the embryo.  The..."
Bioinformatics prediction of gene network and in silico gene perturbation (students in the Computer science major or with strong coding experiences are encouraged to apply) ,"Guo Huang - Professor, UC San Francisco",12 or more hours     Location: On Campus ,"We will isolate DNAs encoding cytoskeletal regulators, describe their expression, and knock-out or add back functions to determine whether they are active in controlling cell behaviors.
Background. 
Amphibian embryos have been valuable models to examine the behaviors of cells that contribute to the shape changes of the embryo.  The..."
The Psychology of Gender Identity and Sexuality Based Inequality,"Sa-kiera Hudson - Professor, Business, Haas School",9-11,"We are addressing a major blocker in microfluidic design: the macro-to-micro interface. Here, we consider how to precisely move and situation an array of single nuclei (from single mammalian cells). We have a vacuum-driven manifold that does the job, but we need to understand best operating parameters..."
"2A: Misperceptions of Racial Economic Progress and the Concealment of Racial Inequality //
2B: Ambivalent stereotypes of Asian Americans and their hierarchy-enhancing function in US society","Sa-kiera Hudson - Professor, Business, Haas School",9-11,"We are addressing a major blocker in microfluidic design: the macro-to-micro interface. Here, we consider how to precisely move and situation an array of single nuclei (from single mammalian cells). We have a vacuum-driven manifold that does the job, but we need to understand best operating parameters..."
"Empathy, Schadenfreude, and Intergroup Social Hierarchy: How Emotions Enforce and Attenuate Inequality ","Sa-kiera Hudson - Professor, Business, Haas School",9-11,"We are addressing a major blocker in microfluidic design: the macro-to-micro interface. Here, we consider how to precisely move and situation an array of single nuclei (from single mammalian cells). We have a vacuum-driven manifold that does the job, but we need to understand best operating parameters..."
Intersectionality in Psychology: How Multiple Identities Shape Prejudice and Discrimination,"Sa-kiera Hudson - Professor, Business, Haas School",9-11,"We are addressing a major blocker in microfluidic design: the macro-to-micro interface. Here, we consider how to precisely move and situation an array of single nuclei (from single mammalian cells). We have a vacuum-driven manifold that does the job, but we need to understand best operating parameters..."
California Consortium for Public Health Informatics and Technology,"Susan Ivey - Professor, Public Health",6-8,"We are seeking 1 additional student for Spring. This project is a consortium of UCB, CSUEB/CSULB, and community colleges around the state to shape a training program in PH informatics which is use of data and visualization of data for public health surveillance, disease tracking, program evaluation, and mapping..."
"Feasibility, Acceptability, and Impact of Video Visits with Non-Licensed Providers for Psychosocial Needs Screening and Linkage to Services in a Safety Net Obstetrics Clinic


 ","Susan Ivey - Professor, Public Health",to be negotiated     Location: Off Campus ,Carbon offsets are being widely used to meet carbon neutrality goals. Improved forest management offset projects have generated around 45% of credits from projects based in the United States but research has shown that programs are grossly over-estimating project benefits. We are working with an interdisciplinary team of researchers...
Computer-based emotion regulation training,"Sheri Johnson - Professor, Psychology",9-11,"We are addressing a major blocker in microfluidic design: the macro-to-micro interface. Here, we consider how to precisely move and situation an array of single nuclei (from single mammalian cells). We have a vacuum-driven manifold that does the job, but we need to understand best operating parameters..."
Voices of Oakland,"Keith Johnson - Professor, Linguistics",3-5,"This project aims to document conversational speech of ordinary people of all ages and backgrounds who grew up in Oakland. Our main interest is in how people pronounce their words - is there an ""Oakland accent"" but the recordings are also social records from people spanning a wide range of age..."
Researching Current Topics in Nutrition and Health: Part 2,"Amy Joy - Professor, Nutritional Sciences and Toxicology",3-5,"This project aims to document conversational speech of ordinary people of all ages and backgrounds who grew up in Oakland. Our main interest is in how people pronounce their words - is there an ""Oakland accent"" but the recordings are also social records from people spanning a wide range of age..."
"Predicting and assessing the adaptability of healthcare facilities to emerging challenges, using simulation-powered predictive analytics and reinforcement learning","Yehuda Kalay - Professor, Architecture",to be negotiated     Location: Off Campus ,Carbon offsets are being widely used to meet carbon neutrality goals. Improved forest management offset projects have generated around 45% of credits from projects based in the United States but research has shown that programs are grossly over-estimating project benefits. We are working with an interdisciplinary team of researchers...
American Exceptionalism and the Quality of Life: the United States in Historical and Comparative Perspective,"Jerome  Karabel - Professor, Sociology",9-11,"We are addressing a major blocker in microfluidic design: the macro-to-micro interface. Here, we consider how to precisely move and situation an array of single nuclei (from single mammalian cells). We have a vacuum-driven manifold that does the job, but we need to understand best operating parameters..."
Understanding the unfolding of the Cambridge Analytica scandal,"Shreeharsh Kelkar - Professor, Interdisciplinary Studies Field (ISF)",3-5,"This project will involve laboratory analysis of preserved plant remains collected from household contexts at a Maya archaeological site called Altar de Sacrificios, which is located on the border of Guatemala and Mexico. The samples were collected from a range of time periods, ranging from the Preclassic to the Postclassic..."
Nanotechnology Unleashed!,"Waqas Khalid - Associate Scientist, QB3",3-5,"This project will involve laboratory analysis of preserved plant remains collected from household contexts at a Maya archaeological site called Altar de Sacrificios, which is located on the border of Guatemala and Mexico. The samples were collected from a range of time periods, ranging from the Preclassic to the Postclassic..."
Threat Perception in the Brain: A Meta-Analysis Project,"Marika Landau-Wells - Professor, Political Science",to be negotiated     Location: On Campus ,"Though sleep is pervasive across animals, the core function of this deeply conserved behavior remains unknown.  Sleep has been hypothesized to serve many roles, from the replenishing of molecules consumed during periods of activity, to the facilitation of learning and the formation of long term memories.  Recently, colleagues and I..."
Developing tools and scenarios for water system operations and allocations under a wide range of climate scenarios and time horizons in California,"Laurel Larsen - Professor, Geography",to be negotiated     Location: On Campus ,"Though sleep is pervasive across animals, the core function of this deeply conserved behavior remains unknown.  Sleep has been hypothesized to serve many roles, from the replenishing of molecules consumed during periods of activity, to the facilitation of learning and the formation of long term memories.  Recently, colleagues and I..."
"AI applications for water supply and streamflow forecasting: a case study in the Russian River Basin, CA","Laurel Larsen - Professor, Geography",to be negotiated     Location: Off Campus ,Carbon offsets are being widely used to meet carbon neutrality goals. Improved forest management offset projects have generated around 45% of credits from projects based in the United States but research has shown that programs are grossly over-estimating project benefits. We are working with an interdisciplinary team of researchers...
"Instrumentation Development for Cosmic Microwave Background, Dark Matter, and Dark Ages experiments at LBNL","Adrian Lee - Professor, Physics",to be negotiated     Location: Off Campus ,Carbon offsets are being widely used to meet carbon neutrality goals. Improved forest management offset projects have generated around 45% of credits from projects based in the United States but research has shown that programs are grossly over-estimating project benefits. We are working with an interdisciplinary team of researchers...
Local agenda setting and gatekeeping bias in local news media,"Gabriel  Lenz - Professor, Political Science",3-5,"This project will involve laboratory analysis of preserved plant remains collected from household contexts at a Maya archaeological site called Altar de Sacrificios, which is located on the border of Guatemala and Mexico. The samples were collected from a range of time periods, ranging from the Preclassic to the Postclassic..."
Plant innate immunity in response to bacterial pathogens,"Jennifer Lewis - Professor, Plant and Microbial Biology",9-11,"The plant pathogen Pseudomonas syringae causes disease in a large number of different plant species, using the type III secretion system to secrete and translocate effector proteins into the plant. Many of these effector proteins are believed to function primarily in the suppression of host defense signaling. However recognition of..."
Developing Global Air Temperature Database for Urban Heat Island Studies,"Lu Liang - Professor, Landscape Architecture and Environmental Planning",6-8,"We are seeking 1 additional student for Spring. This project is a consortium of UCB, CSUEB/CSULB, and community colleges around the state to shape a training program in PH informatics which is use of data and visualization of data for public health surveillance, disease tracking, program evaluation, and mapping..."
Building a Global Local Climate Zone (LCZ) Database for Urban Climate Studies,"Lu Liang - Professor, Landscape Architecture and Environmental Planning",6-8,"We are seeking 1 additional student for Spring. This project is a consortium of UCB, CSUEB/CSULB, and community colleges around the state to shape a training program in PH informatics which is use of data and visualization of data for public health surveillance, disease tracking, program evaluation, and mapping..."
Functional genomic approaches to understanding tumorigenesis and treatment resistance in malignant brain tumors.,"John Liu, UC San Francisco",to be negotiated     Location: Off Campus ,Carbon offsets are being widely used to meet carbon neutrality goals. Improved forest management offset projects have generated around 45% of credits from projects based in the United States but research has shown that programs are grossly over-estimating project benefits. We are working with an interdisciplinary team of researchers...
Computational analysis of genetic disease mechanisms using single cell genomics,"Gabriel Loeb - Professor, Medicine, UCSF",to be negotiated     Location: Off Campus ,Carbon offsets are being widely used to meet carbon neutrality goals. Improved forest management offset projects have generated around 45% of credits from projects based in the United States but research has shown that programs are grossly over-estimating project benefits. We are working with an interdisciplinary team of researchers...
